order_id,order_date,year,month,region,state,category,sub_category,product_name,sales
CA-2017-152156,2017-11-08,2017,11,South,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
CA-2017-152156,2017-11-08,2017,11,South,Kentucky,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96
CA-2017-138688,2017-06-12,2017,6,West,California,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal",14.62
US-2016-108966,2016-10-11,2016,10,South,Florida,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",22.37
US-2016-108966,2016-10-11,2016,10,South,Florida,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.58
CA-2015-115812,2015-06-09,2015,6,West,California,Technology,Phones,"Konftel 250 Conference phone - Charcoal black",911.42
CA-2015-115812,2015-06-09,2015,6,West,California,Furniture,Tables,"Chromcraft Rectangular Conference Tables",1706.18
CA-2015-115812,2015-06-09,2015,6,West,California,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",114.90
CA-2015-115812,2015-06-09,2015,6,West,California,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill",18.50
CA-2015-115812,2015-06-09,2015,6,West,California,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.15
CA-2015-115812,2015-06-09,2015,6,West,California,"Office Supplies",Art,"Newell 322",7.28
CA-2015-115812,2015-06-09,2015,6,West,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
US-2018-141698,2018-04-15,2018,4,Central,Texas,"Office Supplies",Paper,"Xerox 207",20.74
CA-2018-134635,2018-04-15,2018,4,West,California,"Office Supplies",Paper,"Xerox 1883",79.14
CA-2018-114412,2018-04-15,2018,4,South,"North Carolina","Office Supplies",Paper,"Xerox 1967",15.55
CA-2017-108434,2017-12-05,2017,12,East,"New York","Office Supplies",Storage,"Dual Level, Single-Width Filing Carts",465.18
CA-2017-161389,2017-12-05,2017,12,West,Washington,"Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine",407.98
US-2016-118983,2016-11-22,2016,11,Central,Texas,"Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders",2.54
US-2016-118983,2016-11-22,2016,11,Central,Texas,"Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
CA-2015-140732,2015-11-11,2015,11,West,California,"Office Supplies",Paper,"Xerox 1979",123.92
CA-2015-140732,2015-11-11,2015,11,West,California,"Office Supplies",Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",7.78
CA-2015-140732,2015-11-11,2015,11,West,California,Technology,Phones,"Mophie Juice Pack Helium for iPhone",575.93
CA-2015-165309,2015-11-11,2015,11,Central,Texas,Technology,Phones,"Classic Ivory Antique Telephone ZL1810",241.18
CA-2015-165309,2015-11-11,2015,11,Central,Texas,Technology,Phones,"Geemarc AmpliPOWER60",148.48
CA-2015-165309,2015-11-11,2015,11,Central,Texas,"Office Supplies",Paper,"Xerox 1893",262.34
CA-2015-165309,2015-11-11,2015,11,Central,Texas,"Office Supplies",Paper,"Wirebound Message Book, 4 per Page",21.72
CA-2015-165309,2015-11-11,2015,11,Central,Texas,"Office Supplies",Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",67.56
CA-2015-165309,2015-11-11,2015,11,Central,Texas,"Office Supplies",Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",1.23
CA-2015-165309,2015-11-11,2015,11,Central,Texas,"Office Supplies",Binders,"GBC DocuBind TL300 Electric Binding System",896.99
